title,link,view,upload_date
땅 속에선 무슨 일이?ㅣ환경동화 연속보기 | 땅속박사ㅣ땅 속 친구들을 지켜줘요 | 환경과 생활 | 인기 과학동화 ★ 지니키즈,https://youtube.com/watch?v=NIIA-GcEBOk&pp=ygUG7ZmY6rK9,46만회,3년 전
SOS 나의 지구를 구해줘! ㅣ기후변화 ㅣ환경 공익광고,https://youtube.com/watch?v=0DTjy0SJyA4&pp=ygUG7ZmY6rK9,230회,10개월 전
"""불편해도 친환경이라 참고 썼는데…"" 그 종이 빨대 반전 / SBS / 실시간e뉴스",https://youtube.com/watch?v=CYHnOJv9xcI&pp=ygUG7ZmY6rK9,838회,4년 전
"""기후변화로 세상 망할 일 없어"" 툰베리 맞수 떠오른 독일 10대 / 연합뉴스 (Yonhapnews)",https://youtube.com/watch?v=ewXewVwHkpI&pp=ygUG7ZmY6rK9,22만회,10개월 전
한국환경공단｜물 분야 사업 홍보영상,https://youtube.com/watch?v=ol6YBTDRLLU&pp=ygUG7ZmY6rK9,6.3만회,10개월 전
10분?환경송 모음집?? | 환경의 날 | 동요모음 | 인기동요 | 어린이동요 | 로티프렌즈,https://youtube.com/watch?v=CvgUWp6e2nM&pp=ygUG7ZmY6rK9,56만회,1년 전
이게 환경보호..? 바다에 타이어 200만 개 던져버린 1970년대 미국｜크랩,https://youtube.com/watch?v=_XBJStTQL8w&pp=ygUG7ZmY6rK9,12만회,5년 전
우리가 무심코 쓴 플라스틱이 모여 아주 큰 나라가 됐다는 사실,https://youtube.com/watch?v=6vSE2eBh-Do&pp=ygUG7ZmY6rK9,1.8천회,1년 전
달걀 1개만 깨져도 한 판이 통째로 쓰레기통으로! 음식물 쓰레기의 진실  [2021-2022 UHD환경스페셜 38편 먹다 버릴 지구는 없다] / KBS 20220310 방송,https://youtube.com/watch?v=jSiCUO6mZOc&pp=ygUG7ZmY6rK9,21만회,5년 전
플라스틱 먹는 애벌레..환경문제 해결사될까 / KBS뉴스(NEWS),https://youtube.com/watch?v=O8gnVjXYhpI&pp=ygUG7ZmY6rK9,172만회,4년 전
우리함께 지켜요,https://youtube.com/watch?v=g8cY5smZZSM&pp=ygUG7ZmY6rK9,38만회,2개월 전
플라스틱을 땔감 삼아 요리하는 사람들! 선진국의 온갖 폐기물이 몰려드는 동남아 쓰레기 마을 르포ㅣKBS다큐인사이트-지속 가능한 지구는 없다 2부 재활용 식민지 24.01.18 방송,https://youtube.com/watch?v=egY82rEpArw&pp=ygUG7ZmY6rK9,22만회,5년 전
우리 주변을 안전하게 만드는 방법!│환경오염 예방/안전한 가정환경│아이쿠 2화씩 이어보기 #22,https://youtube.com/watch?v=L7fbvMquGI4&pp=ygUG7ZmY6rK9,1.6만회,7개월 전
"[기후환경 리포트] 태양과 화산까지 가세했다, 기후변화 저지선 풍전등화 (2023.09.11/뉴스투데이/MBC)",https://youtube.com/watch?v=2ulZLBer8ZU&pp=ygUG7ZmY6rK9,4.9만회,2년 전
옷이 지구를 망친다?! 환경 오염의 주범인 옷! 우리가 몰랐던 패션의 뒷이야기 | 지구인 더 하우스 2 회,https://youtube.com/watch?v=cJTR-0oyfoY&pp=ygUG7ZmY6rK9,30만회,9개월 전
‘도로 점거’ 환경단체 향해 트럭으로 돌진? / KBS 2023.07.14.,https://youtube.com/watch?v=A974JoSfiM4&pp=ygUG7ZmY6rK9,47만회,2년 전
송길영 박사 | 요즘 사람들이 환경운동을 한 뒤에 꼬옥~ 한다는 '이것'? 빅데이터로 알아보는 환경 트렌드?? [환경읽어드립니다],https://youtube.com/watch?v=mJDV_BPsRBQ&pp=ygUG7ZmY6rK9,5.9만회,5일 전
"""자연 파괴에 책임 느껴""..전 재산 환경단체 기부 (뉴스데스크 2024.4.12 광주MBC)",https://youtube.com/watch?v=PB1btGEMS0U&pp=ygUG7ZmY6rK9,1.6만회,1년 전
"종이 빨대 계속 써야 할까요? 종이로 하는 환경보호! / 최재천의 아마존, 전지적 관찰자 시점",https://youtube.com/watch?v=qGmbCFLJSW4&pp=ygUG7ZmY6rK9,8.4만회,1년 전
"“응~ 시위해, 난 집에 갈거야”, 폭스바겐의 뜻밖의 대응 / 14F",https://youtube.com/watch?v=EL4KdP4W6b8&pp=ygUG7ZmY6rK9,4.4만회,1년 전
